season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share,kda_enhanced,efficiency_score,role,popularity_tier,impact_score
3,Main,Twitch,8,12.7,5.0,3,2.0,1,2,33.3,5.0,3.0,6.0,3.67,254.0,7.43,12.6,368.0,0.0,,,,,3.6666666666666665,36.96666666666666,other,Bajo,4.694766666666665
3,Main,Nocturne,7,11.1,2.0,5,3.0,1,4,20.0,1.8,3.0,4.4,2.07,150.4,4.88,8.5,277.0,0.0,,,,,2.066666666666667,22.066666666666666,other,Bajo,2.4494
3,Main,Lulu,5,7.9,,5,4.0,1,4,20.0,0.0,3.6,3.4,0.94,15.8,0.53,5.2,173.0,0.0,,,,,0.9444444444444444,20.944444444444443,other,Bajo,1.654611111111111
3,Main,Ryze,5,7.9,,5,2.0,1,4,20.0,3.4,4.4,3.8,1.64,218.8,7.33,9.7,324.0,0.0,,,,,1.636363636363636,21.636363636363637,other,Bajo,1.7092727272727273
3,Main,Karthus,5,7.9,2.0,3,3.0,1,2,33.3,5.33,5.0,5.33,2.13,276.67,7.92,12.4,355.0,0.0,,,,,2.132,35.431999999999995,other,Bajo,2.7991279999999996
3,Main,Diana,3,4.8,,3,3.0,1,2,33.3,3.33,3.33,4.67,2.4,249.0,7.85,10.9,345.0,0.0,,,,,2.4024024024024024,35.7024024024024,other,Bajo,1.713715315315315
3,Main,Nunu,3,4.8,,3,2.0,1,2,33.3,1.67,3.67,9.67,3.09,85.33,2.27,9.6,256.0,0.0,,,,,3.0899182561307903,36.389918256130784,other,Bajo,1.7467160762942777
3,Main,Tristana,3,4.8,,3,3.0,1,2,33.3,3.33,2.33,2.67,2.57,264.33,7.6,11.7,337.0,0.0,,,,,2.575107296137339,35.87510729613734,other,Bajo,1.722005150214592
3,Main,Malphite,3,4.8,,3,3.0,0,3,0.0,1.67,2.67,3.67,2.0,177.0,5.91,7.8,260.0,0.0,,,,,2.0,2.0,other,Bajo,0.096
3,Main,Yorick,3,4.8,1.0,2,2.0,1,1,50.0,1.0,2.0,4.5,2.75,190.5,5.58,9.9,290.0,0.0,,,,,2.75,52.75,other,Bajo,2.532
3,Main,Nami,2,3.2,,2,1.0,1,1,50.0,0.0,2.0,10.5,5.25,27.5,0.75,7.0,191.0,0.0,,,,,5.25,55.25,other,Bajo,1.768
3,Main,Syndra,2,3.2,,2,1.0,1,1,50.0,9.0,3.5,7.5,4.71,271.0,9.12,13.0,438.0,0.0,,,,,4.714285714285714,54.714285714285715,other,Bajo,1.750857142857143
3,Main,Shyvana,2,3.2,,2,2.0,0,2,0.0,0.5,4.5,1.5,0.44,225.5,6.87,9.2,280.0,0.0,,,,,0.4444444444444444,0.4444444444444444,other,Bajo,0.014222222222222223
3,Main,Blitzcrank,1,1.6,,1,1.0,1,0,100.0,4.0,2.0,12.0,8.0,14.0,0.47,8.7,290.0,0.0,,,,,8.0,108.0,other,Bajo,1.7280000000000002
3,Main,Cassiopeia,1,1.6,,1,1.0,1,0,100.0,6.0,0.0,3.0,9.0,319.0,8.65,15.7,426.0,0.0,,,,,9.0,109.0,other,Bajo,1.744
3,Main,Jayce,1,1.6,,1,1.0,1,0,100.0,6.0,2.0,11.0,8.5,237.0,8.2,13.3,460.0,0.0,,,,,8.5,108.5,other,Bajo,1.7360000000000002
3,Main,Kayle,1,1.6,,1,1.0,1,0,100.0,7.0,10.0,13.0,2.0,307.0,6.15,18.4,369.0,0.0,,,,,2.0,102.0,other,Bajo,1.6320000000000001
3,Main,Sivir,1,1.6,,1,1.0,1,0,100.0,7.0,2.0,19.0,13.0,172.0,5.73,12.4,413.0,0.0,,,,,13.0,113.0,other,Bajo,1.808
3,Main,Tryndamere,1,1.6,,1,1.0,1,0,100.0,5.0,2.0,5.0,5.0,264.0,7.67,14.0,407.0,0.0,,,,,5.0,105.0,other,Bajo,1.68
3,Main,Veigar,1,1.6,,1,1.0,1,0,100.0,1.0,1.0,4.0,5.0,25.0,0.68,8.8,239.0,0.0,,,,,5.0,105.0,other,Bajo,1.68
3,Main,Volibear,1,1.6,,1,1.0,1,0,100.0,8.0,3.0,14.0,7.33,96.0,2.67,11.7,326.0,0.0,,,,,7.333333333333333,107.33333333333333,other,Bajo,1.7173333333333334
3,Main,Dr. Mundo,1,1.6,,1,1.0,0,1,0.0,1.0,7.0,1.0,0.29,99.0,4.14,5.3,221.0,0.0,,,,,0.2857142857142857,0.2857142857142857,other,Bajo,0.004571428571428571
3,Main,Hecarim,1,1.6,,1,1.0,0,1,0.0,8.0,2.0,7.0,7.5,173.0,5.03,11.3,328.0,0.0,,,,,7.5,7.5,other,Bajo,0.12
3,Main,Karma,1,1.6,,1,1.0,0,1,0.0,3.0,7.0,3.0,0.86,85.0,3.55,6.2,259.0,0.0,,,,,0.8571428571428571,0.8571428571428571,other,Bajo,0.013714285714285714
3,Main,Miss Fortune,1,1.6,,1,1.0,0,1,0.0,1.0,3.0,2.0,1.0,214.0,6.58,9.2,283.0,0.0,,,,,1.0,1.0,other,Bajo,0.016
3,Main,Soraka,1,1.6,,1,1.0,0,1,0.0,0.0,8.0,8.0,1.0,120.0,4.0,6.4,213.0,0.0,,,,,1.0,1.0,other,Bajo,0.016
3,Main,Swain,1,1.6,,1,1.0,0,1,0.0,2.0,5.0,4.0,1.2,263.0,7.55,10.7,307.0,0.0,,,,,1.2,1.2,other,Bajo,0.0192
3,Main,Teemo,1,1.6,,1,1.0,0,1,0.0,3.0,6.0,8.0,1.83,164.0,4.77,9.3,270.0,0.0,,,,,1.8333333333333333,1.8333333333333333,other,Bajo,0.029333333333333336
3,Main,Xin Zhao,1,1.6,,1,1.0,0,1,0.0,1.0,6.0,1.0,0.33,94.0,2.89,7.0,215.0,0.0,,,,,0.3333333333333333,0.3333333333333333,other,Bajo,0.005333333333333333
